time_stamp,sender_retrans,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
02:48:22 PM,0,264241152,507510784,0,0,0,0,255852544,247463936,258867200,1.82421875
02:48:23 PM,0,251658240,507510784,0,0,0,0,264241152,251658240,244449280,1.998046875
02:48:24 PM,0,247463936,507510784,0,0,0,0,251658240,264241152,260046848,1.8701171875
02:48:25 PM,0,264241152,507510784,0,0,0,0,251658240,255852544,257241088,1.7919921875
02:48:26 PM,0,268435456,511705088,0,0,0,0,264241152,247463936,241881088,1.9921875
02:48:27 PM,0,247463936,507510784,0,0,0,0,260046096,260046096,264245248,1.78125
02:48:28 PM,0,251658240,507510784,0,0,0,0,251658240,251658240,243531776,1.9052734375
02:48:29 PM,0,260046848,511705088,0,0,0,0,247463936,247463936,247857152,1.9375
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
,180,,,,,,,,,,
,0,,,,,,,,,,
,0,,,,,,,,,,
