ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
102,0.012,0.000,0.843,0.008,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:872(children)
1019,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:982(timer)
1019,0.004,0.000,0.039,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:942(cpu_percent)
1019,0.001,0.000,0.019,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:1045(memory_info)
1019,0.001,0.000,0.004,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:1561(cpu_count)
1019,0.006,0.000,0.018,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1797(memory_info)
918,0.002,0.000,0.021,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1786(create_time)
1019,0.003,0.000,0.003,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1812(<listcomp>)
1019,0.004,0.000,0.029,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1767(cpu_times)
1937,0.012,0.000,0.038,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1607(_parse_stat_file)
918,0.001,0.000,0.002,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1595(__init__)
4893/2956,0.004,0.000,0.070,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1573(wrapper)
102,0.202,0.002,0.804,0.008,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1547(ppid_map)
102,0.001,0.000,0.068,0.001,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1510(pids)
102,0.017,0.000,0.020,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:1512(<listcomp>)
1019,0.001,0.000,0.003,0.000,/usr/local/lib/python3.8/site-packages/psutil/_pslinux.py:630(cpu_count_logical)
102,0.001,0.000,0.851,0.008,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:268(wrapper)
918,0.000,0.000,0.029,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:325(__init__)
918,0.004,0.000,0.028,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:328(_init)
102,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:405(__eq__)
1122,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:420(pid)
102,0.001,0.000,0.007,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:568(is_running)
2548,0.001,0.000,0.023,0.000,/usr/local/lib/python3.8/site-packages/psutil/__init__.py:704(create_time)
918,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/threading.py:81(RLock)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:222(__init__)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:246(__enter__)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:249(__exit__)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:255(_release_save)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:258(_acquire_restore)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:261(_is_owned)
10,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/threading.py:270(wait)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:505(__init__)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:513(is_set)
10,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/threading.py:540(wait)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:734(_newname)
10,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/threading.py:761(__init__)
10,0.000,0.000,0.002,0.000,/usr/local/lib/python3.8/threading.py:834(start)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:1031(name)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:1095(daemon)
10,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:1177(_make_invoke_excepthook)
12,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/threading.py:1306(current_thread)
9,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/_weakrefset.py:38(_remove)
12,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/_weakrefset.py:81(add)
16,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/enum.py:631(__new__)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/enum.py:748(name)
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:249(_compile_charset)
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:276(_optimize_charset)
3,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:423(_simple)
13,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:453(_get_iscased)
7/6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:461(_get_literal_prefix)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:492(_get_charset_prefix)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:536(_compile_info)
12,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:595(isstring)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:598(_code)
7,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:65(_combine_flags)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/enum.py:938(__and__)
14/6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_compile.py:71(_compile)
6,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/sre_compile.py:759(compile)
6,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:76(__init__)
22,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:81(groups)
5,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:84(opengroup)
5,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:96(closegroup)
14,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:111(__init__)
20,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:160(__len__)
108,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:164(__getitem__)
3,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:168(__setitem__)
66,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/sre_parse.py:172(append)
